names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
WIF1,5.7678638,0.7493714,8.028260119945521e-09,1.5484177996272574e-08,0.023436136165260402
APOA1,5.758625,0.63137025,8.48018412775377e-09,1.632435444592601e-08,0.028080448065173118
CXCR1,5.756243,0.67166483,8.600654327731684e-09,1.652448173140003e-08,0.025901949374454464
IL12B,5.7476873,0.5286392,9.047238662759528e-09,1.734920670770553e-08,0.030986325283677625
IL1B,5.7143917,0.5706715,1.1009717579085759e-08,2.1072136322494926e-08,0.03059354087867326
FZD1,5.7057514,0.35489467,1.1583106816911391e-08,2.2127270846809734e-08,0.04689773057899331
KRT14,5.6726866,0.75330013,1.4057532734057265e-08,2.680302907960252e-08,0.022839685772475995
PDGFB,5.666782,0.33664906,1.4550427608565479e-08,2.7690072312117958e-08,0.05074556299098051
ITGA5,5.657,0.44281226,1.540417755068513e-08,2.925916836477384e-08,0.03568155368053535
LTBR,5.6222463,0.25742975,1.8849044010944628e-08,3.5734645937415854e-08,0.06657695664823975
EPHA7,5.611926,0.46188468,2.00087169589497e-08,3.786148520965718e-08,0.035463340122199594
CSF2,5.5684977,0.629346,2.5694537235846988e-08,4.843734797190741e-08,0.02655295315682281
GCG,5.530449,0.60650533,3.194123569927834e-08,5.998719875230323e-08,0.026276549316264185
SLC13A3,5.5156875,0.14674714,3.4741918502411784e-08,6.500310359049382e-08,0.1830920861216177
CXCL5,5.454596,0.4089617,4.9084273737295053e-08,9.166671270714991e-08,0.03962394530113471
